Continent,Year,Life expectancy 
Asia,2015,65
Asia,2014,59.9
Asia,2013,59.9
Asia,2012,59.5
Asia,2011,59.2
Asia,2010,58.8
Asia,2009,58.6
Asia,2008,58.1
Asia,2007,57.5
Asia,2006,57.3
Asia,2005,57.3
Asia,2004,57
Asia,2003,56.7
Asia,2002,56.2
Asia,2001,55.3
Asia,2000,54.8
Europe,2015,77.8
Europe,2014,77.5
Europe,2013,77.2
Europe,2012,76.9
Europe,2011,76.6
Europe,2010,76.2
Europe,2009,76.1
Europe,2008,75.3
Europe,2007,75.9
Europe,2006,74.2
Europe,2005,73.5
Europe,2004,73
Europe,2003,72.8
Europe,2002,73.3
Europe,2001,73.6
Europe,2000,72.6
Africa,2015,75.6
Africa,2014,75.4
Africa,2013,75.3
Africa,2012,75.1
Africa,2011,74.9
Africa,2010,74.7
Africa,2009,74.4
Africa,2008,74.1
Africa,2007,73.8
Africa,2006,73.4
Africa,2005,72.9
Africa,2004,72.3
Africa,2003,71.7
Africa,2002,71.6
Africa,2001,71.4
Africa,2000,71.3
Africa,2015,52.4
Africa,2014,51.7
Africa,2013,51.1
Africa,2012,56
Africa,2011,51
Africa,2010,49.6
Africa,2009,49.1
Africa,2008,48.7
Africa,2007,48.2
Africa,2006,47.7
Africa,2005,47.4
Africa,2004,47.1
Africa,2003,46.8
Africa,2002,46.5
Africa,2001,45.7
Africa,2000,45.3
North America,2015,76.4
North America,2014,76.2
North America,2013,76.1
North America,2012,75.9
North America,2011,75.7
North America,2010,75.6
North America,2009,75.4
North America,2008,75.2
North America,2007,75
North America,2006,74.8
North America,2005,74.6
North America,2004,74.4
North America,2003,74.2
North America,2002,74
North America,2001,73.8
North America,2000,73.6
South America,2015,76.3
South America,2014,76.2
South America,2013,76
South America,2012,75.9
South America,2011,75.7
South America,2010,75.5
South America,2009,75.6
South America,2008,75.4
South America,2007,74.8
South America,2006,75.2
South America,2005,74.9
South America,2004,74.7
South America,2003,74.1
South America,2002,74.1
South America,2001,74
South America,2000,74.1
Asia,2015,74.8
Asia,2014,74.6
Asia,2013,74.4
Asia,2012,74.4
Asia,2011,73.9
Asia,2010,73.5
Asia,2009,73.3
Asia,2008,73.2
Asia,2007,73.5
Asia,2006,72.9
Asia,2005,73
Asia,2004,73
Asia,2003,72.7
Asia,2002,72.6
Asia,2001,72.6
Asia,2000,72
